N;Bubble Sort (Tempo);Bubble Sort (Operacoes);Bubble Sort Otimizado (Tempo);Bubble Sort Otimizado (Operacoes);Insertion Sort (Tempo);Insertion Sort (Operacoes);Merge Sort (Tempo);Merge Sort (Operacoes);Quick Sort (Tempo);Quick Sort (Operacoes)
179000;0;737332;0;737007;4062;7988409499;21;9082929;17;5541885
180000;1;741052;1;740106;4194;8100147467;20;9138488;16;5912217
181000;1;745863;1;744093;3851;8196537239;18;9193031;14;5912568
182000;1;754575;1;753834;4079;8277816671;22;9248646;15;5754787
183000;0;749478;0;748350;4030;8375670292;20;9303337;15;6018798
184000;1;754011;0;751310;4114;8463510923;19;9358941;15;6268969
185000;1;747603;1;746973;4062;8568549564;23;9414174;21;6074218
186000;1;740164;0;739569;3813;8633595232;21;9468178;16;5936289
187000;0;750374;0;749428;3768;8744738430;22;9523548;16;5988671
188000;1;757790;0;757724;3735;8851813581;18;9578613;14;5774715
189000;1;749547;0;748986;4053;8934542207;20;9632772;16;5902235
190000;1;757922;1;756697;4209;9051328406;20;9688170;15;5814716
191000;1;747261;0;747141;4183;9118128001;20;9743074;16;6273895
192000;1;749933;1;749192;4113;9225949859;20;9797749;15;6411875
193000;1;749597;1;749366;4001;9306851723;19;9852795;14;6078612
194000;1;752246;1;752141;3766;9417892423;19;9906713;14;6421692
195000;1;751700;0;750374;3932;9488804743;19;9962362;14;6367318
196000;1;746906;1;746045;3910;9611376583;21;10017067;16;6389036
197000;1;749672;1;749176;4083;9691886442;25;10072597;21;6219613
198000;1;748971;1;747696;4462;9822064073;20;10127257;16;6300372
199000;1;741839;0;741098;4728;9909869989;25;10182921;15;6362576
200000;1;746877;1;746867;4322;9984688980;22;10238097;20;6338409
